epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,3006.31,0.73784,0.66778,1.16231,0.69691,0.63684,0.65473,0.52181,1.39584,1.51234,1.80165,0.0001024,0.0001024,0.0001024
138,3028.44,0.73555,0.65293,1.16209,0.68801,0.63374,0.65148,0.52079,1.3994,1.51102,1.80946,9.58e-05,9.58e-05,9.58e-05
139,3050.44,0.73048,0.65734,1.15887,0.69665,0.64041,0.65416,0.5221,1.39646,1.50151,1.80314,8.92e-05,8.92e-05,8.92e-05
140,3072.23,0.72958,0.64595,1.15357,0.71317,0.63537,0.6543,0.52152,1.40147,1.49692,1.81731,8.26e-05,8.26e-05,8.26e-05
141,3095.71,0.64069,0.51505,1.05517,0.68558,0.64445,0.6518,0.51566,1.42306,1.51726,1.84921,7.6e-05,7.6e-05,7.6e-05
142,3117.64,0.60826,0.46334,1.03562,0.77497,0.59932,0.65169,0.51759,1.41763,1.52118,1.84798,6.94e-05,6.94e-05,6.94e-05
143,3139.4,0.59634,0.46334,1.02661,0.73201,0.61897,0.65431,0.51983,1.41473,1.51056,1.84716,6.28e-05,6.28e-05,6.28e-05
144,3160.77,0.59619,0.45578,1.02658,0.71893,0.63591,0.65639,0.52166,1.41971,1.51412,1.85096,5.62e-05,5.62e-05,5.62e-05
145,3182.41,0.58336,0.43811,1.02313,0.74106,0.62014,0.65477,0.52217,1.42645,1.53539,1.86161,4.96e-05,4.96e-05,4.96e-05
146,3204.74,0.58421,0.43662,1.01794,0.74619,0.62069,0.65473,0.52207,1.43019,1.54255,1.86822,4.3e-05,4.3e-05,4.3e-05
147,3226.45,0.58247,0.44142,1.01546,0.7341,0.62847,0.65627,0.5238,1.42554,1.53382,1.86208,3.64e-05,3.64e-05,3.64e-05
148,3248.57,0.58132,0.44508,1.02248,0.71332,0.63406,0.65568,0.52454,1.42318,1.54181,1.8575,2.98e-05,2.98e-05,2.98e-05
149,3270.39,0.57439,0.43259,1.01236,0.71575,0.63617,0.6589,0.525,1.42425,1.54073,1.85962,2.32e-05,2.32e-05,2.32e-05
150,3292.47,0.57397,0.43455,1.01166,0.73384,0.62282,0.658,0.5254,1.42196,1.53482,1.86118,1.66e-05,1.66e-05,1.66e-05
